Freq(Hz),Gain(dB),Phase
2344228.77,-3.94,-123.19
2398832.87,-4.50,-110.25
2454708.87,-5.16,-95.49
2511886.38,-5.02,-80.62
2570395.73,-4.49,-74.31
2630267.94,-3.46,-61.32
2691534.74,-1.86,-43.33
2754228.64,0.65,-34.97
2818382.87,0.65,-28.42
2884031.43,1.65,-23.18
2951209.16,2.20,-20.71
3019951.65,3.06,-16.83
3090295.35,4.22,-11.46
3162277.58,4.91,-8.31
3235936.48,5.40,-5.68
3311311.13,5.75,-3.22
3388441.47,5.96,-1.87
3467368.41,6.22,2.58
3548133.79,6.55,4.56
3630780.44,6.63,7.52
3715352.18,6.63,9.11
3801893.85,6.51,12.39
3890451.33,6.35,16.06
3981071.58,6.00,20.75
4073802.65,5.36,28.06
4168693.70,4.73,35.18
4265795.05,4.38,38.76
4365158.18,3.67,50.68
4466835.77,2.96,62.72
4570881.74,2.75,80.37
4677351.25,2.55,97.70
4786300.76,3.41,115.04
4897788.02,4.28,132.50
5011872.16,5.39,145.34
5128613.65,6.95,164.20
5248074.41,7.62,-174.41
5370317.76,7.98,-173.67
5495408.53,7.98,-162.04
5623413.03,7.66,-148.92
5754399.15,7.27,-134.02
5888436.32,7.15,-125.87
6025595.62,6.86,-106.67
6165949.77,6.48,-88.34
6309573.19,6.72,-69.74
6456542.02,8.64,-44.80
6606934.20,9.46,-28.49
6760829.47,8.68,-18.28
6918309.41,9.67,13.40
7079457.53,10.67,8.06
7244359.28,11.84,23.90
7413102.08,13.01,40.29
7585775.41,15.91,55.04
7762470.81,20.82,73.49
7943281.98,26.06,86.34
8128304.78,34.78,135.61
8317637.32,33.90,-135.35
8511379.97,24.20,-82.70
8709635.48,19.28,-60.30
8912508.95,17.71,-48.38
9120107.94,17.08,-30.59
9332542.54,16.65,-9.34
9549925.38,17.19,3.04
9772371.71,17.69,3.52
10000000.00,18.19,6.29
